precio,superficie,baños,habitaciones,precio/metro,Barrio
1700,65,1,2,26,Sarrià 
3500,190,3,3,18,Sarrià 
2800,123,2,2,23,Sant Gervasi-Galvany 
1650,120,2,4,14,Sarrià 
800,62,1,3,13,El Putxet-El Farró 
2100,265,3,3,8,Sarrià 
3700,216,3,4,17,Les Tres Torres 
1000,66,1,2,15,Sarrià 
6800,338,4,6,20,Sant Gervasi-Galvany 
1250,97,2,3,13,Sant Gervasi-Galvany 
3900,146,2,4,27,Sant Gervasi-Galvany 
1400,85,2,3,16,El Putxet-El Farró 
3200,252,3,4,13,Sant Gervasi-Galvany 
1250,110,2,4,11,Sant Gervasi-Galvany 
1500,128,2,4,12,Sant Gervasi-La Bonanova 
750,40,1,1,19,El Putxet-El Farró 
900,50,1,1,18,Sant Gervasi-Galvany 
900,50,1,1,18,El Putxet-El Farró 
4900,257,5,5,19,Les Tres Torres 
1000,55,1,1,18,Sant Gervasi-Galvany 
1350,95,2,2,14,Sarrià 
1500,90,2,3,17,El Putxet-El Farró 
1400,85,2,3,16,El Putxet-El Farró 
1350,92,1,3,15,Sant Gervasi-Galvany 
3000,170,4,4,18,Sant Gervasi-Galvany 
1800,130,2,4,14,El Putxet-El Farró 
1490,92,1,3,16,El Putxet-El Farró 
1000,85,2,3,12,Sarrià 
1000,50,1,2,20,El Putxet-El Farró 
2500,211,5,6,12,Sant Gervasi-Galvany 
3000,236,3,5,13,Sarrià 
750,38,1,1,20,Sant Gervasi-Galvany 
1000,56,1,1,18,El Putxet-El Farró 
1400,65,1,2,22,Sant Gervasi-Galvany 
1250,71,1,3,18,El Putxet-El Farró 
900,62,1,2,15,Sant Gervasi-Galvany 
2300,181,3,4,13,Sant Gervasi-Galvany 
2740,114,2,3,24,Sant Gervasi-La Bonanova 
1100,71,1,3,15,El Putxet-El Farró 
3000,200,3,4,15,Les Tres Torres 
9000,613,7,8,15,Sant Gervasi-Galvany 
7000,230,4,10,30,Sant Gervasi-Galvany 
985,90,1,2,11,Les Tres Torres 
1550,100,2,3,16,Les Tres Torres 
950,76,1,3,13,Sant Gervasi-Galvany 
1400,85,2,3,16,El Putxet-El Farró 
1950,119,2,4,16,Sarrià 
