precio,superficie,baños,habitaciones,precio/metro,Barrio
793,35,1,1,23,El Poble-sec 
1300,69,1,3,19,El Poble-sec 
832,65,1,3,13,El Poble-sec 
900,65,1,3,14,Sants-Badal 
850,80,1,3,11,La Marina del Port-Parc de Montjuïc 
900,75,1,3,12,Sants-Badal 
1050,76,1,3,14,Sants 
890,88,2,3,10,Sants-Badal 
1000,75,1,3,13,Sants-Badal 
1000,55,1,2,18,El Poble-sec 
1800,90,1,4,20,Sants 
820,64,1,2,13,La Bordeta 
790,65,1,3,12,Sants-Badal 
900,71,2,2,13,La Bordeta 
1150,75,1,3,15,La Marina del Port-Parc de Montjuïc 
770,55,1,1,14,El Poble-sec 
890,70,1,3,13,Sants 
1400,119,2,4,12,Sants-Badal 
1300,140,1,3,9,El Poble-sec 
800,64,1,3,13,Sants 
1100,75,1,3,15,Sants 
767,61,1,2,13,Sants 
900,72,1,2,13,La Font de la Guatlla 
900,75,1,3,12,Sants-Badal 
1170,95,2,4,12,Sants 
900,65,1,1,14,Sants 
1000,82,1,3,12,Sants-Badal 
1000,70,1,2,14,Sants 
650,55,1,1,12,La Bordeta 
1760,88,1,2,20,Sants 
800,40,1,1,20,El Poble-sec 
1000,69,1,1,14,El Poble-sec 
825,74,1,2,11,Hostafrancs 
1000,71,1,3,14,Sants-Badal 
585,50,1,1,12,El Poble-sec 
800,59,1,3,14,Sants-Badal 
1200,85,2,3,14,Sants 
790,62,1,2,13,El Poble-sec 
1450,150,2,5,10,El Poble-sec 
1800,80,1,2,23,El Poble-sec 
1400,80,2,3,18,La Font de la Guatlla 
950,70,1,3,14,Sants 
950,92,2,4,10,Sants 
825,70,1,3,12,Sants-Badal 
1250,76,1,2,16,El Poble-sec 
800,85,1,3,9,El Poble-sec 
1100,95,2,3,12,La Bordeta 
790,55,1,4,14,El Poble-sec 
850,50,1,2,17,El Poble-sec 
969,59,1,3,16,Sants 
800,77,1,3,10,Hostafrancs 
850,73,1,3,12,La Bordeta 
2000,140,2,4,14,La Font de la Guatlla 
1000,65,1,2,15,El Poble-sec 
930,50,1,3,19,El Poble-sec 
950,75,1,3,13,La Bordeta 
840,65,1,3,13,El Poble-sec 
990,81,1,3,12,Sants 
950,57,1,2,17,El Poble-sec 
999,65,2,3,15,Sants-Badal 
825,60,1,2,14,El Poble-sec 
1210,45,1,1,27,Sants 
