precio,superficie,baños,habitaciones,precio/metro,Barrio
1600,114,2,4,14,Sant Antoni 
2000,95,2,2,21,La Dreta de l'Eixample 
1400,85,2,3,16,La Sagrada Família 
1000,62,1,2,16,La Nova Esquerra de l'Eixample 
1200,105,2,2,11,La Dreta de l'Eixample 
3500,111,2,3,32,La Dreta de l'Eixample 
795,51,1,3,16,L'Antiga Esquerra de l'Eixample 
2000,130,3,4,15,L'Antiga Esquerra de l'Eixample 
2300,90,2,3,26,La Nova Esquerra de l'Eixample 
1150,61,1,2,19,La Nova Esquerra de l'Eixample 
875,65,1,2,13,La Sagrada Família 
1200,100,2,4,12,La Sagrada Família 
1400,125,2,3,11,L'Antiga Esquerra de l'Eixample 
870,65,1,2,13,La Sagrada Família 
900,90,1,3,10,La Nova Esquerra de l'Eixample 
1250,62,1,2,20,La Dreta de l'Eixample 
800,70,1,1,11,La Sagrada Família 
2200,120,2,3,18,La Dreta de l'Eixample 
790,55,1,1,14,Sant Antoni 
2000,130,2,3,15,La Dreta de l'Eixample 
1100,90,2,3,12,La Dreta de l'Eixample 
1000,78,2,4,13,La Sagrada Família 
1350,120,1,3,11,La Nova Esquerra de l'Eixample 
1100,65,1,2,17,L'Antiga Esquerra de l'Eixample 
700,55,1,2,13,La Nova Esquerra de l'Eixample 
1800,115,1,2,16,La Nova Esquerra de l'Eixample 
795,51,1,3,16,L'Antiga Esquerra de l'Eixample 
690,40,1,1,17,La Dreta de l'Eixample 
1200,115,2,4,10,La Sagrada Família 
3125,133,3,5,23,Sant Antoni 
1300,80,1,2,16,La Sagrada Família 
1300,51,1,2,25,L'Antiga Esquerra de l'Eixample 
1000,62,2,2,16,Sant Antoni 
980,80,1,2,12,La Sagrada Família 
600,48,1,1,13,La Nova Esquerra de l'Eixample 
1100,75,1,1,15,La Dreta de l'Eixample 
1245,90,1,3,14,La Sagrada Família 
1450,100,2,5,15,La Dreta de l'Eixample 
1600,114,2,4,14,Sant Antoni 
995,62,1,3,16,L'Antiga Esquerra de l'Eixample 
1450,100,2,3,15,La Nova Esquerra de l'Eixample 
2100,156,2,4,13,La Dreta de l'Eixample 
1600,105,2,2,15,L'Antiga Esquerra de l'Eixample 
875,45,1,1,19,La Nova Esquerra de l'Eixample 
1350,95,4,3,14,La Dreta de l'Eixample 
4900,234,5,5,21,La Dreta de l'Eixample 
1300,114,2,3,11,L'Antiga Esquerra de l'Eixample 
2850,171,2,3,17,La Dreta de l'Eixample 
650,40,1,1,16,La Nova Esquerra de l'Eixample 
1990,180,2,4,11,La Dreta de l'Eixample 
1200,100,2,4,12,La Sagrada Família 
2200,90,2,3,24,La Dreta de l'Eixample 
1400,63,2,3,22,La Nova Esquerra de l'Eixample 
1400,114,2,3,12,La Dreta de l'Eixample 
1350,100,2,3,14,L'Antiga Esquerra de l'Eixample 
990,73,1,3,14,La Nova Esquerra de l'Eixample 
1650,100,2,2,17,La Dreta de l'Eixample 
2000,130,3,4,15,La Dreta de l'Eixample 
1050,66,1,2,16,La Sagrada Família 
2800,120,2,3,23,La Dreta de l'Eixample 
950,72,2,3,13,La Dreta de l'Eixample 
960,60,1,3,16,El Fort Pienc 
1320,45,1,1,29,El Fort Pienc 
1400,77,2,2,18,La Nova Esquerra de l'Eixample 
2700,185,2,4,15,La Dreta de l'Eixample 
1300,86,2,3,15,La Sagrada Família 
1050,63,1,2,17,L'Antiga Esquerra de l'Eixample 
800,68,1,1,12,La Nova Esquerra de l'Eixample 
1000,70,2,4,14,Sant Antoni 
1100,68,1,1,16,La Dreta de l'Eixample 
