precio,superficie,baños,habitaciones,precio/metro,Barrio
2.100,100,3,3,21,La Dreta de l'Eixample 
2.500,120,2,3,21,La Dreta de l'Eixample 
1.100,70,2,2,16,La Nova Esquerra de l'Eixample 
850,50,1,2,17,La Nova Esquerra de l'Eixample 
1.350,90,1,3,15,La Nova Esquerra de l'Eixample 
700,45,1,1,16,La Dreta de l'Eixample 
1.100,60,1,2,18,La Dreta de l'Eixample 
1.150,59,2,2,19,La Sagrada Família 
1.190,100,2,4,12,L'Antiga Esquerra de l'Eixample 
1.150,60,1,2,19,La Dreta de l'Eixample 
1.000,100,2,4,10,La Sagrada Família 
870,59,1,1,15,La Nova Esquerra de l'Eixample 
1.300,65,1,2,20,La Nova Esquerra de l'Eixample 
1.000,50,1,2,20,La Sagrada Família 
1.850,102,2,4,18,L'Antiga Esquerra de l'Eixample 
1.775,148,2,3,12,L'Antiga Esquerra de l'Eixample 
5.500,252,3,4,22,La Dreta de l'Eixample 
1.000,93,1,3,11,La Sagrada Família 
1.000,90,2,4,11,El Fort Pienc 
2.850,185,3,3,15,La Dreta de l'Eixample 
3.850,235,4,3,16,La Dreta de l'Eixample 
1.500,120,2,2,13,L'Antiga Esquerra de l'Eixample 
1.200,75,1,3,16,L'Antiga Esquerra de l'Eixample 
8.000,350,4,4,23,La Dreta de l'Eixample 
1.400,95,2,3,15,La Sagrada Família 
750,38,1,2,20,La Nova Esquerra de l'Eixample 
990,54,1,2,18,La Sagrada Família 
950,63,1,2,15,La Nova Esquerra de l'Eixample 
2.200,123,2,3,18,L'Antiga Esquerra de l'Eixample 
3.000,170,2,2,18,La Dreta de l'Eixample 
700,25,1,1,28,Sant Antoni 
1.500,80,2,3,19,Sant Antoni 
975,70,1,3,14,La Nova Esquerra de l'Eixample 
895,77,1,3,12,L'Antiga Esquerra de l'Eixample 
1.700,90,2,2,19,La Dreta de l'Eixample 
1.450,95,3,4,15,La Dreta de l'Eixample 
950,70,1,2,14,La Nova Esquerra de l'Eixample 
1.000,68,1,3,15,La Nova Esquerra de l'Eixample 
1.150,60,1,1,19,La Dreta de l'Eixample 
1.200,70,1,2,17,La Nova Esquerra de l'Eixample 
1.725,153,3,4,11,La Dreta de l'Eixample 
1.600,65,1,1,25,La Dreta de l'Eixample 
1.450,85,2,4,17,La Nova Esquerra de l'Eixample 
1.900,90,2,3,21,La Nova Esquerra de l'Eixample 
2.450,200,2,4,12,La Dreta de l'Eixample 
3.300,120,2,2,28,La Dreta de l'Eixample 
3.200,290,4,5,11,La Dreta de l'Eixample 
1.040,85,1,3,12,L'Antiga Esquerra de l'Eixample 
925,90,2,4,10,L'Antiga Esquerra de l'Eixample 
1.550,90,2,2,17,La Sagrada Família 
930,70,1,3,13,La Nova Esquerra de l'Eixample 
1.500,115,2,3,13,L'Antiga Esquerra de l'Eixample 
1.700,65,1,1,26,La Dreta de l'Eixample 
4.900,230,3,4,21,La Dreta de l'Eixample 
2.310,65,1,2,36,La Dreta de l'Eixample 
1.675,100,2,3,17,La Dreta de l'Eixample 
1.200,50,1,1,24,L'Antiga Esquerra de l'Eixample 
