precio,superficie,baños,habitaciones,precio/metro,Barrio
950,74,1,3,13,Sant Pere-Santa Caterina-La Ribera 
850,68,1,2,13,El Raval 
1.620,45,1,1,36,El Barri Gòtic 
1.500,62,2,2,24,Sant Pere-Santa Caterina-La Ribera 
900,73,2,2,12,Sant Pere-Santa Caterina-La Ribera 
1.170,50,1,1,23,El Barri Gòtic 
1.160,125,1,4,9,El Raval 
975,73,1,3,13,El Raval 
700,45,1,1,16,El Barri Gòtic 
800,60,2,1,13,El Raval 
990,50,1,1,20,El Barri Gòtic 
800,53,1,3,15,Sant Pere-Santa Caterina-La Ribera 
1.913,81,1,2,24,El Barri Gòtic 
1.000,60,1,2,17,El Raval 
950,59,1,3,16,El Raval 
990,85,1,4,12,El Raval 
1.430,75,1,1,19,Sant Pere-Santa Caterina-La Ribera 
1.100,70,2,2,16,El Raval 
825,86,1,2,10,El Barri Gòtic 
1.600,115,1,2,14,El Raval 
900,70,1,2,13,El Raval 
1.100,95,1,3,12,El Barri Gòtic 
1.290,75,2,2,17,El Barri Gòtic 
1.100,70,1,2,16,El Raval 
1.195,94,1,3,13,Sant Pere-Santa Caterina-La Ribera 
1.000,90,2,2,11,El Barri Gòtic 
850,66,2,3,13,El Raval 
795,52,1,1,15,Sant Pere-Santa Caterina-La Ribera 
590,30,1,1,20,Sant Pere-Santa Caterina-La Ribera 
950,57,1,3,17,El Barri Gòtic 
700,50,1,1,14,El Barri Gòtic 
700,32,1,1,22,La Barceloneta 
950,80,1,3,12,El Raval 
880,55,1,3,16,Sant Pere-Santa Caterina-La Ribera 
950,90,2,3,11,El Raval 
1.000,80,1,2,13,El Raval 
700,48,1,2,15,El Raval 
1.195,94,1,3,13,Sant Pere-Santa Caterina-La Ribera 
900,55,1,2,16,El Barri Gòtic 
1.475,100,2,2,15,El Barri Gòtic 
700,70,1,1,10,El Raval 
1.200,60,1,2,20,El Barri Gòtic 
720,45,1,1,16,El Raval 
1.000,56,1,1,18,El Barri Gòtic 
880,55,1,3,16,Sant Pere-Santa Caterina-La Ribera 
850,68,1,2,13,El Raval 
700,70,1,1,10,El Raval 
1.500,62,2,2,24,Sant Pere-Santa Caterina-La Ribera 
1.000,74,1,2,14,El Barri Gòtic 
925,67,1,2,14,Sant Pere-Santa Caterina-La Ribera 
900,73,2,2,12,Sant Pere-Santa Caterina-La Ribera 
900,78,1,3,12,Sant Pere-Santa Caterina-La Ribera 
875,60,1,1,15,Sant Pere-Santa Caterina-La Ribera 
700,39,1,1,18,Sant Pere-Santa Caterina-La Ribera 
1.250,75,2,2,17,La Barceloneta 
800,42,1,1,19,Sant Pere-Santa Caterina-La Ribera 
600,33,1,1,18,La Barceloneta 
900,70,1,2,13,El Raval 
700,50,1,1,14,El Barri Gòtic 
790,65,1,3,12,Sant Pere-Santa Caterina-La Ribera 
540,24,1,1,23,El Raval 
1.500,62,2,2,24,Sant Pere-Santa Caterina-La Ribera 
1.400,65,2,2,22,El Barri Gòtic 
795,52,1,1,15,Sant Pere-Santa Caterina-La Ribera 
1.200,58,1,2,21,Sant Pere-Santa Caterina-La Ribera 
1.000,66,2,2,15,El Raval 
1.190,50,1,1,24,El Barri Gòtic 
750,60,1,2,13,El Raval 
990,65,1,2,15,Sant Pere-Santa Caterina-La Ribera 
1.500,80,2,3,19,Sant Pere-Santa Caterina-La Ribera 
1.100,46,1,2,24,Sant Pere-Santa Caterina-La Ribera 
970,86,1,1,11,Sant Pere-Santa Caterina-La Ribera 
1.100,70,1,3,16,La Barceloneta 
700,39,1,1,18,Sant Pere-Santa Caterina-La Ribera 
