precio,superficie,baños,habitaciones,precio/metro,Barrio
1.100,80,2,2,14,El Poblenou 
2.400,105,2,3,23,El Poblenou 
1.090,90,2,4,12,El Camp de l'Arpa del Clot 
1.090,84,2,4,13,Provençals del Poblenou 
970,85,2,3,11,El Clot 
2.000,176,3,3,11,La Vila Olímpica del Poblenou 
2.500,205,2,4,12,El Camp de l'Arpa del Clot 
1.110,70,2,3,16,El Camp de l'Arpa del Clot 
1.100,78,1,3,14,El Parc-La Llacuna del Poblenou 
1.100,85,2,4,13,El Parc-La Llacuna del Poblenou 
2.200,440,1,2,5,El Poblenou 
800,65,1,2,12,El Besòs-El Maresme 
900,92,2,2,10,El Camp de l'Arpa del Clot 
1.560,77,2,3,20,Diagonal Mar-El Front Marítim del Poblenou 
995,70,2,2,14,Provençals del Poblenou 
680,53,1,3,13,El Camp de l'Arpa del Clot 
2.600,55,1,3,47,El Poblenou 
3.900,146,2,3,27,Diagonal Mar-El Front Marítim del Poblenou 
700,43,1,2,16,El Clot 
2.750,95,2,2,29,El Camp de l'Arpa del Clot 
2.600,139,2,4,19,El Poblenou 
1.600,75,2,2,21,Diagonal Mar-El Front Marítim del Poblenou 
1.600,102,2,3,16,El Poblenou 
930,97,1,3,10,Provençals del Poblenou 
820,45,1,1,18,El Poblenou 
1.200,142,1,1,8,El Parc-La Llacuna del Poblenou 
1.850,75,2,2,25,El Poblenou 
650,49,1,1,13,El Parc-La Llacuna del Poblenou 
1.150,88,1,3,13,La Vila Olímpica del Poblenou 
1.250,120,2,4,10,El Clot 
750,70,1,3,11,El Poblenou 
950,86,1,2,11,El Camp de l'Arpa del Clot 
1.800,60,1,1,30,El Parc-La Llacuna del Poblenou 
890,61,1,3,15,El Camp de l'Arpa del Clot 
4.500,225,2,4,20,Diagonal Mar-El Front Marítim del Poblenou 
990,90,2,3,11,El Parc-La Llacuna del Poblenou 
1.100,99,2,4,11,Sant Martí de Provençals 
800,55,1,2,15,El Clot 
2.600,89,2,3,29,El Poblenou 
1.695,85,2,2,20,El Poblenou 
850,54,1,2,16,El Poblenou 
2.600,121,2,3,21,Diagonal Mar-El Front Marítim del Poblenou 
1.100,65,3,3,17,El Camp de l'Arpa del Clot 
1.560,80,2,3,20,Provençals del Poblenou 
1.000,75,2,3,13,El Besòs-El Maresme 
996,65,2,3,15,El Poblenou 
1.300,65,1,2,20,Navas (Distrito Sant Andreu. Barcelona Capital)
900,71,1,3,13,El Besòs-El Maresme 
1.129,55,1,2,21,La Vila Olímpica del Poblenou 
1.000,116,2,4,9,El Camp de l'Arpa del Clot 
1.600,88,1,2,18,La Vila Olímpica del Poblenou 
1.300,50,1,1,26,El Parc-La Llacuna del Poblenou 
1.765,126,2,1,14,La Vila Olímpica del Poblenou 
1.006,79,1,3,13,Provençals del Poblenou 
860,63,1,2,14,El Poblenou 
9.000,180,3,4,50,El Poblenou 
1.350,66,1,3,20,El Parc-La Llacuna del Poblenou 
1.100,72,2,2,15,El Poblenou 
985,78,1,3,13,El Poblenou 
950,65,1,2,15,El Clot 
700,46,1,1,15,El Poblenou 
1.280,74,1,3,17,Provençals del Poblenou 
1.280,68,1,3,19,Diagonal Mar-El Front Marítim del Poblenou 
900,50,1,2,18,Diagonal Mar-El Front Marítim del Poblenou 
1.000,82,1,3,12,El Camp de l'Arpa del Clot 
850,68,1,3,13,El Camp de l'Arpa del Clot 
1.100,69,1,1,16,El Parc-La Llacuna del Poblenou 
1.650,129,2,4,13,La Vila Olímpica del Poblenou 
1.000,75,2,3,13,El Camp de l'Arpa del Clot 
1.500,88,1,1,17,El Parc-La Llacuna del Poblenou 
10.000,185,3,3,54,Diagonal Mar-El Front Marítim del Poblenou 
1.500,100,1,2,15,El Poblenou 
1.100,72,2,2,15,El Poblenou 
1.100,75,2,3,15,El Camp de l'Arpa del Clot 
950,55,1,2,17,El Camp de l'Arpa del Clot 
1.350,40,1,1,34,Diagonal Mar-El Front Marítim del Poblenou 
750,35,1,1,21,El Camp de l'Arpa del Clot 
1.400,108,2,3,13,La Vila Olímpica del Poblenou 
1.400,88,1,1,16,El Parc-La Llacuna del Poblenou 
825,70,1,3,12,Diagonal Mar-El Front Marítim del Poblenou 
1.150,75,1,3,15,El Camp de l'Arpa del Clot 
800,70,2,2,11,El Camp de l'Arpa del Clot 
780,65,2,3,12,El Camp de l'Arpa del Clot 
1.150,75,1,2,15,El Camp de l'Arpa del Clot 
1.300,91,2,2,14,Provençals del Poblenou 
725,76,1,3,10,El Camp de l'Arpa del Clot 
1.550,72,2,2,22,Provençals del Poblenou 
995,95,1,3,10,El Besòs-El Maresme 
1.500,85,1,2,18,La Vila Olímpica del Poblenou 
880,68,1,2,13,El Camp de l'Arpa del Clot 
3.100,120,2,3,26,Diagonal Mar-El Front Marítim del Poblenou 
950,74,1,3,13,La Vila Olímpica del Poblenou 
1.800,103,2,3,17,El Besòs-El Maresme 
650,45,1,1,14,El Clot 
950,95,2,4,10,El Camp de l'Arpa del Clot 
1.150,63,1,3,18,El Parc-La Llacuna del Poblenou 
4.000,105,3,3,38,Diagonal Mar-El Front Marítim del Poblenou 
960,52,1,1,18,El Poblenou 
800,65,1,1,12,El Clot 
1.600,92,2,2,17,El Besòs-El Maresme 
2.380,130,2,2,18,Diagonal Mar-El Front Marítim del Poblenou 
1.250,92,1,4,14,Sant Martí (Barcelona Capital)
1.245,95,1,3,13,El Camp de l'Arpa del Clot 
975,75,1,3,13,El Parc-La Llacuna del Poblenou 
1.500,70,1,2,21,La Vila Olímpica del Poblenou 
