precio,superficie,baños,habitaciones,precio/metro,Barrio
2065,120,2,3,17,La Maternitat-Sant Ramon 
1100,78,2,3,14,La Maternitat-Sant Ramon 
1980,160,2,3,12,Les Corts 
900,30,1,1,30,La Maternitat-Sant Ramon 
1895,166,3,3,11,Pedralbes 
1895,175,3,3,11,Pedralbes 
1700,125,3,4,14,La Maternitat-Sant Ramon 
1400,98,2,4,14,Les Corts 
1400,122,2,3,11,Les Corts 
950,75,1,3,13,Les Corts 
1300,100,2,2,13,La Maternitat-Sant Ramon 
1000,70,2,3,14,Les Corts 
1850,115,2,3,16,Les Corts 
1600,111,2,4,14,La Maternitat-Sant Ramon 
999,60,2,3,17,La Maternitat-Sant Ramon 
3800,202,4,4,19,Pedralbes 
795,72,1,3,11,Les Corts 
1180,100,2,3,12,La Maternitat-Sant Ramon 
1100,111,2,4,10,Les Corts 
1360,90,2,3,15,Les Corts 
975,80,2,4,12,La Maternitat-Sant Ramon 
14000,980,5,6,14,Pedralbes 
1300,107,1,4,12,La Maternitat-Sant Ramon 
1300,100,1,4,13,La Maternitat-Sant Ramon 
1200,92,1,2,13,La Maternitat-Sant Ramon 
1600,100,2,4,16,Les Corts 
2250,120,2,3,19,Pedralbes 
895,65,2,3,14,Les Corts 
4900,277,5,5,18,Pedralbes 
3500,191,3,3,18,Les Corts 
2600,177,2,3,15,Pedralbes 
975,85,2,4,11,La Maternitat-Sant Ramon 
1155,110,2,3,11,Les Corts 
790,95,1,2,8,Les Corts 
1600,115,2,4,14,Les Corts 
348,80,1,3,4,La Maternitat-Sant Ramon 
