superficie;habitaciones;baños;Precio
140;4;2;1.700
110;3;2;1.322
59;2;1;900
250;5;3;2.950
45;3;1;750
87;4;2;900
130;3;2;2.100
90;2;2;2.350
85;2;1;1.600
66;3;2;850
163;2;2;3.500
122;3;2;1.400
80;3;2;1.350
80;3;2;2.000
65;2;1;890
80;3;1;1.050
55;1;1;850
70;3;1;950
48;2;1;700
105;3;2;1.324
106;3;2;1.500
87;4;2;950
70;2;1;1.100
277;5;5;4.900
73;3;1;975
70;2;1;1.050
67;3;1;984
68;2;1;1.200
101;3;1;875
75;3;1;950
52;1;1;1.220
58;1;1;975
100;4;1;1.300
60;2;1;650
65;1;1;860
67;3;1;875
65;2;1;950
105;3;3;4.000
48;1;1;700
80;2;1;1.300
140;3;3;1.500
48;1;1;780
150;4;2;2.100
65;2;1;1.438
91;3;1;1.300
105;3;2;2.000
37;1;1;649
60;3;1;850
63;2;1;1.000
160;3;3;2.350
77;2;1;1.300
70;3;1;975
69;2;1;1.443
90;2;1;1.200
52;2;1;725
65;3;1;750
55;1;1;925
72;2;1;920
240;6;3;3.500
57;2;1;1.600
38;1;1;760
45;1;1;740
100;3;2;4.000
65;2;1;1.500
62;3;1;900
65;1;1;850
100;4;2;1.000
70;4;2;1.000
108;3;2;1.570
95;2;2;2.750
90;3;1;1.100
77;3;1;800
80;3;2;1.500
70;3;1;1.020
105;3;2;1.200
286;5;5;5.206
75;2;1;990
86;2;1;1.700
90;3;2;990
62;2;1;950
107;3;2;1.520
55;2;1;1.000
100;3;2;1.050
80;3;1;1.000
100;4;2;1.050
55;1;1;1.600
45;1;1;700
36;2;1;750
120;3;2;1.000
65;2;1;800
75;3;1;1.200
203;3;3;2.900
75;3;1;1.000
53;1;1;1.150
90;2;2;1.650
42;1;1;820
96;2;2;1.200
105;3;2;1.250
102;2;2;1.800
65;3;1;840
146;4;2;3.200
66;1;2;975
77;3;1;950
60;2;1;900
76;2;1;1.100
70;2;1;1.069
103;3;2;1.200
90;3;2;990
80;2;2;1.400
67;2;1;750
69;2;1;1.350
75;3;1;889
85;3;2;1.300
110;4;2;1.200
43;2;1;1.095
65;1;1;1.100
91;4;2;1.125
80;3;1;1.550
180;4;2;2.400
92;2;1;1.200
55;2;1;1.129
54;1;1;950
92;4;1;1.250
95;2;2;1.850
53;1;1;975
86;3;2;1.250
62;1;1;800
86;5;2;990
110;3;2;1.600
119;4;2;1.950
140;4;2;1.300
75;3;1;900
40;1;1;590
55;1;2;750
94;3;2;1.250
120;3;2;1.768
76;3;1;725
60;2;1;1.200
32;1;1;635
84;4;2;1.090
120;3;2;2.300
80;3;2;1.000
60;2;1;875
85;2;1;995
50;2;1;650
55;2;1;700
163;3;2;1.100
32;1;1;750
35;1;1;650
61;2;1;850
60;2;1;1.300
82;3;1;1.000
65;2;1;1.300
150;4;2;1.650
165;4;3;2.000
76;2;1;975
75;3;1;1.000
51;2;1;850
40;1;1;800
150;4;3;2.650
57;2;1;980
80;4;2;975
91;4;1;990
30;1;1;700
50;1;1;950
115;2;2;1.650
87;3;2;1.100
72;3;1;795
65;2;1;875
80;2;1;850
86;3;2;1.200
242;5;4;4.500
106;2;2;1.500
75;2;1;625
86;3;1;1.350
92;3;1;1.300
84;3;2;1.150
71;3;1;1.100
40;1;1;575
48;1;1;900
75;4;1;940
85;3;2;1.350
75;2;1;1.500
113;5;2;2.430
148;4;3;2.700
140;3;2;2.750
50;2;1;940
65;2;1;950
76;3;2;900
70;3;1;800
95;3;1;850
33;1;1;590
89;2;1;1.100
58;1;1;660
90;2;1;820
57;3;1;850
252;4;3;5.500
55;1;1;1.200
374;5;5;4.900
60;1;1;850
97;3;2;1.090
100;3;3;2.100
107;4;1;1.300
105;3;2;2.000
90;3;2;1.000
100;2;1;900
47;2;1;875
52;2;1;865
85;1;2;1.500
84;3;2;1.170
75;3;1;1.150
85;4;2;1.450
85;3;2;1.700
77;3;2;1.238
220;5;3;3.500
130;3;2;1.300
120;4;2;1.540
60;2;1;1.250
102;3;1;1.800
65;1;1;1.700
170;2;2;2.800
62;2;1;800
64;2;1;1.000
90;2;1;1.350
70;3;2;900
102;3;2;999
149;3;2;3.400
250;4;3;1.995
45;1;1;950
70;3;2;795
75;3;1;1.200
146;3;2;3.900
114;3;2;1.400
65;1;1;850
61;2;1;767
50;2;1;825
86;1;1;950
55;1;1;650
54;1;1;900
90;4;2;1.500
145;6;2;1.750
96;2;1;850
80;4;1;1.050
90;2;2;2.500
50;1;1;900
65;3;2;999
124;3;1;1.350
70;2;1;960
99;4;2;1.100
110;4;2;1.200
56;3;1;850
74;3;1;880
70;1;1;950
45;1;1;1.200
100;4;2;1.380
130;2;2;1.360
46;1;1;1.075
59;2;13;800
45;1;1;950
125;3;2;1.500
65;1;1;800
32;1;1;700
45;1;1;700
60;3;1;850
110;4;2;2.700
120;2;2;950
66;1;1;900
92;4;1;1.200
86;3;2;1.350
59;3;1;850
76;2;1;1.200
125;4;2;1.200
40;2;1;1.200
100;3;2;1.150
54;1;1;800
27;1;1;575
27;1;1;640
50;1;1;3.100
32;1;1;750
31;1;1;650
190;4;2;3.400
81;3;1;875
77;3;2;780
67;2;2;1.350
65;2;2;1.800
46;1;1;800
75;1;2;950
51;3;1;775
80;3;2;1.500
35;1;1;750
57;3;1;850
55;2;1;1.450
142;1;1;1.200
69;2;1;1.100
68;3;1;1.000
81;2;1;1.150
65;2;2;1.800
119;2;2;1.650
67;2;2;1.400
65;2;1;870
72;3;1;750
220;4;3;4.500
75;3;2;1.400
45;1;1;900
171;3;2;2.200
100;3;2;1.100
95;4;2;950
31;1;1;700
72;2;1;1.150
338;6;4;6.800
45;1;1;699
48;2;1;1.760
70;3;1;1.000
70;3;2;1.050
95;2;1;1.350
125;3;2;1.450
66;2;1;1.090
85;3;2;1.400
50;1;1;800
65;2;1;1.600
40;1;1;750
60;2;1;850
136;3;2;2.800
52;1;1;720
71;3;1;690
37;1;1;700
60;1;1;850
97;3;2;1.650
79;2;1;925
92;4;1;950
133;5;3;3.125
75;2;1;900
119;3;2;1.250
140;4;1;1.500
65;3;1;950
172;3;4;2.250
146;2;3;3.500
90;3;1;945
54;3;1;790
80;3;1;1.100
257;6;3;2.950
60;2;2;1.400
53;3;1;680
65;2;1;980
72;2;1;1.300
99;2;2;2.200
78;3;1;890
58;2;1;1.150
85;3;2;1.700
27;1;1;550
60;2;2;1.200
88;1;1;1.400
55;1;1;900
124;4;2;1.095
74;3;1;950
140;4;2;3.800
42;1;1;960
65;3;1;1.050
126;1;2;1.765
45;1;1;1.210
175;5;2;1.650
100;2;1;2.000
75;3;1;820
108;1;1;1.090
72;4;2;990
90;4;2;1.500
80;1;1;2.000
81;3;1;1.100
80;3;2;1.600
87;2;2;1.100
61;1;1;900
55;1;1;1.000
45;1;1;662
70;3;2;900
114;4;2;1.500
24;1;1;600
64;1;1;900
55;2;1;650
97;2;2;1.300
57;2;1;760
37;1;1;915
145;3;2;2.850
38;2;1;690
197;3;3;3.800
70;3;1;1.200
78;3;1;875
110;3;2;1.850
80;2;1;760
76;2;1;1.200
75;3;1;1.050
55;1;1;1.300
71;2;2;750
90;2;2;2.650
65;3;1;1.000
83;3;1;925
200;5;2;2.800
41;1;1;1.000
74;3;2;1.200
75;3;2;1.000
87;3;1;1.200
73;4;1;1.100
85;3;1;850
90;3;2;1.201
75;3;2;1.400
38;1;1;490
76;3;1;800
90;4;2;925
45;1;1;1.200
50;1;1;650
120;4;2;1.500
63;2;1;977
53;1;1;800
80;3;1;890
107;3;2;2.680
101;4;2;1.115
138;4;3;3.365
40;1;1;640
105;2;2;1.200
147;4;3;2.300
80;3;2;2.200
90;2;2;1.550
120;4;2;1.290
112;3;2;1.650
50;3;1;700
50;2;1;790
120;2;2;2.590
91;3;1;800
80;3;1;1.550
167;4;3;1.800
70;1;1;1.300
55;2;1;760
81;3;1;1.050
75;3;1;900
50;1;1;825
86;2;2;1.500
100;4;1;1.195
45;1;1;1.320
62;1;2;850
60;2;2;950
57;1;1;1.400
52;3;1;825
60;2;1;950
60;2;1;900
75;1;1;1.430
48;1;1;900
75;3;1;1.000
58;1;1;1.200
95;3;1;1.300
63;1;2;900
61;2;1;900
140;5;3;1.750
100;2;2;3.500
75;3;2;850
65;2;1;790
51;2;1;800
67;21;1;2.400
88;4;1;850
50;2;1;875
91;3;1;875
95;3;2;1.200
77;3;2;1.650
69;2;1;890
40;1;1;900
137;4;2;1.600
47;1;1;900
60;2;1;950
55;2;1;1.100
113;3;2;1.600
70;2;1;950
48;1;1;760
92;3;2;1.500
19;1;27;530
48;3;1;800
75;2;1;795
90;3;2;1.100
55;4;1;950
202;2;4;745
90;4;1;3.800
99;4;2;1.250
95;4;2;1.360
152;4;3;1.200
85;1;1;2.250
40;3;1;1.150
78;2;1;700
50;5;1;1.050
200;1;4;750
60;3;1;870
100;1;2;1.200
50;4;2;1.000
92;2;1;800
75;2;1;1.000
75;3;2;1.500
50;3;1;1.100
115;2;2;950
74;3;1;1.350
160;4;2;800
128;3;3;1.600
85;2;2;1.600
104;3;2;1.400
80;2;1;1.500
76;2;2;900
62;3;2;1.490
73;3;1;835
68;3;2;800
95;3;1;2.000
120;2;2;1.700
80;1;2;2.065
60;3;1;900
193;1;2;1.200
42;2;1;2.520
75;4;1;750
111;1;2;900
70;1;1;1.100
40;4;1;950
115;3;2;800
44;3;1;1.050
72;3;1;750
80;1;2;1.000
73;1;2;1.100
57;1;1;850
43;3;1;950
50;3;1;640
100;2;2;675
65;3;1;1.700
83;4;1;720
100;3;2;1.100
89;4;1;1.400
124;1;3;1.390
50;4;1;1.800
90;2;1;990
62;1;1;1.050
34;1;1;940
58;2;1;550
60;2;1;790
50;2;1;1.000
50;1;1;800
50;1;1;890
67;3;1;875
203;1;2;1.250
38;3;1;2.750
95;4;2;600
128;3;2;1.200
70;4;1;1.600
115;3;2;825
95;4;2;1.600
118;4;2;1.000
183;4;3;1.500
230;2;3;3.085
41;1;1;4.900
35;3;1;750
78;2;1;700
65;3;1;880
63;2;1;775
65;3;2;850
90;3;2;850
58;3;2;995
90;3;2;990
100;1;1;1.050
50;2;1;1.245
60;3;1;720
95;1;2;1.150
40;4;1;950
90;2;2;800
60;3;1;1.200
85;3;2;1.100
81;3;1;1.300
100;2;2;1.700
46;1;1;1.350
83;1;2;650
52;1;1;1.490
48;1;1;720
50;2;1;700
70;2;1;900
75;4;1;1.200
160;2;2;1.095
60;2;1;1.700
72;3;1;850
80;4;2;800
92;1;1;1.650
43;3;1;1.200
122;5;2;675
255;6;4;1.600
488;1;5;2.600
56;3;1;10.000
90;2;2;1.190
67;3;1;2.000
76;4;1;800
140;1;2;850
25;3;1;1.890
83;3;1;700
67;3;2;990
70;1;1;1.250
47;4;1;750
94;3;1;800
70;3;1;1.100
75;3;2;875
150;2;2;800
67;2;1;1.500
51;3;1;925
66;2;1;900
59;2;1;700
74;3;2;1.000
48;3;1;1.627
62;2;1;666
100;4;2;750
175;2;4;1.300
80;4;2;2.500
95;1;3;1.700
56;3;1;1.450
83;2;1;800
65;3;1;1.200
79;3;1;1.300
99;3;1;695
72;4;1;1.150
60;4;2;945
177;2;2;1.000
65;2;1;1.990
73;4;1;850
80;3;1;880
85;3;2;1.000
36;2;13;1.700
100;1;2;490
65;4;1;1.800
90;1;2;1.600
145;2;2;1.100
45;2;1;1.550
72;1;1;2.400
66;4;1;700
53;3;1;1.140
97;1;2;900
95;5;2;760
50;1;1;1.200
87;2;2;1.200
35;2;1;800
55;2;1;1.200
60;3;2;650
55;3;1;773
150;1;2;950
120;3;1;710
55;2;1;1.250
116;3;2;1.150
50;3;1;950
85;2;2;1.530
70;3;1;1.000
66;4;1;1.400
62;3;1;850
120;3;2;1.600
83;3;1;1.250
80;3;1;1.300
100;2;2;1.300
79;4;1;750
55;2;1;1.000
130;3;2;1.150
58;2;1;1.100
61;1;1;1.200
70;3;1;950
40;3;1;980
109;4;3;940
95;4;1;650
109;1;2;1.800
80;1;1;1.245
48;3;1;1.100
48;3;1;800
68;3;1;900
132;4;2;670
91;1;1;1.280
130;2;2;2.300
45;3;1;925
56;3;1;1.800
70;4;2;690
80;2;2;690
80;4;1;1.000
79;2;1;900
95;3;2;1.145
73;2;2;1.100
80;1;1;1.150
67;2;1;1.150
55;6;1;900
151;2;2;850
300;8;4;850
50;1;1;2.380
52;2;1;800
62;3;1;1.050
157;4;2;1.000
39;2;Bajo;2.300
88;3;2;2.990
80;2;1;650
141;2;3;1.100
82;3;1;1.750
80;2;2;2.200
75;2;1;790
59;1;1;1.600
65;4;1;870
90;3;1;700
135;1;2;1.100
82;1;2;1.100
55;2;1;1.590
60;1;1;1.100
85;2;2;1.400
37;3;1;900
85;3;2;1.550
101;2;2;800
76;1;1;1.225
65;3;1;1.450
45;2;1;950
71;1;2;800
90;4;2;675
50;2;1;1.150
66;1;1;900
90;4;2;995
85;2;1;645
180;2;2;895
51;4;1;1.900
62;3;1;2.500
300;4;4;1.000
90;3;2;790
135;1;3;2.500
120;3;2;1.750
43;2;1;2.250
93;3;1;1.550
79;2;1;1.100
120;3;2;1.300
50;3;1;1.020
102;3;1;2.200
122;2;2;845
83;4;1;950
70;1;1;2.700
90;3;2;1.000
60;3;2;1.100
80;3;1;1.346
75;3;2;1.200
116;3;2;990
88;3;1;1.200
85;2;1;1.300
133;4;2;1.150
79;3;2;1.300
90;4;2;1.400
81;6;1;1.250
100;1;2;1.150
211;1;5;990
44;1;1;1.190
100;4;1;2.500
40;4;1;825
133;1;2;2.000
80;3;2;700
75;3;1;1.400
70;2;1;1.100
100;2;2;1.430
104;4;2;800
123;3;2;1.550
96;5;1;1.650
120;3;2;2.800
140;3;7;1.400
70;2;1;1.900
83;3;2;985
80;2;2;750
152;3;2;1.353
50;1;1;1.000
69;4;1;3.640
45;3;1;1.050
102;2;2;1.000
61;1;1;720
75;3;2;1.000
40;3;1;1.175
66;3;1;1.600
120;3;2;800
120;2;2;827
140;3;2;6.500
100;3;2;2.900
70;2;1;2.500
82;2;2;1.280
81;1;1;850
89;3;2;875
50;2;1;1.100
80;1;2;1.650
196;2;1;1.225
45;2;1;1.400
48;3;1;2.500
53;3;1;900
270;4;4;750
77;4;2;900
114;2;2;4.500
154;3;3;1.290
60;4;1;1.500
69;3;1;3.745
86;2;2;793
90;3;2;860
57;3;1;1.000
135;3;2;1.400
80;2;1;1.250
76;3;1;3.800
60;3;1;900
97;2;1;1.300
78;1;1;680
51;2;1;930
58;3;1;975
110;3;2;875
82;3;1;1.250
69;3;1;2.500
105;2;2;900
90;3;2;800
65;5;1;1.400
85;4;1;990
200;2;3;1.400
130;3;3;1.100
38;2;1;2.500
54;4;1;2.000
55;3;1;875
90;3;2;800
120;2;2;800
100;6;2;1.115
88;3;1;2.250
230;3;3;2.000
100;4;2;1.760
77;2;1;2.675
90;5;1;1.297
65;3;2;950
145;1;2;950
63;1;1;1.000
68;3;1;1.400
50;3;1;1.200
71;2;1;1.000
75;3;2;925
102;2;1;1.380
121;4;2;1.115
75;3;2;1.150
113;3;2;1.600
84;3;1;950
64;3;1;1.310
120;2;1;990
89;3;2;760
90;2;2;1.350
105;1;1;925
80;3;1;1.175
45;3;1;1.500
95;3;2;1.450
140;2;3;660
114;5;2;3.000
55;2;1;1.500
201;4;2;1.750
64;3;1;1.050
80;2;2;2.950
212;3;3;1.000
70;2;1;1.100
130;2;2;2.450
75;2;1;1.000
95;1;1;2.000
65;2;1;700
29;3;1;1.300
65;2;1;850
93;2;2;900
76;3;1;1.140
55;3;1;1.000
78;4;1;990
48;3;1;850
120;3;3;850
60;2;1;1.100
113;2;2;1.700
55;3;1;815
62;1;1;1.827
86;3;2;1.050
50;3;1;1.350
79;3;2;1.300
75;4;2;950
106;2;2;1.250
90;2;2;1.100
69;1;1;1.800
65;2;1;1.250
60;1;1;1.200
87;4;2;1.800
45;2;1;900
125;4;2;1.225
65;4;2;800
100;4;2;2.200
112;2;2;1.090
181;1;3;1.015
80;3;2;1.650
52;4;1;2.300
81;3;2;1.100
67;3;1;670
80;2;2;990
42;2;1;1.500
156;1;2;1.500
75;2;1;700
50;3;1;2.100
100;3;1;1.150
92;3;2;900
117;1;2;2.500
70;1;1;2.120
40;2;1;1.200
45;1;1;1.350
60;1;1;1.400
75;2;1;700
45;3;1;850
80;2;2;1.150
95;1;2;800
72;3;2;2.250
40;3;1;1.200
68;1;1;2.500
120;1;2;770
60;1;1;850
29;1;1;2.200
30;3;1;1.300
60;2;1;550
79;3;1;900
52;2;1;1.100
71;1;1;850
65;2;1;800
45;2;1;1.250
52;5;1;1.300
80;3;1;1.320
180;2;4;745
73;1;2;2.800
38;2;1;1.100
60;4;1;650
55;4;1;760
62;4;1;1.100
115;3;2;813
80;2;2;1.200
73;2;1;1.800
150;1;2;790
80;3;1;1.200
48;2;1;1.150
110;3;2;1.450
105;4;1;750
61;4;1;1.475
134;3;1;1.800
91;3;2;750
59;3;1;1.000
67;3;1;1.450
80;3;2;800
105;2;2;650
75;2;1;1.300
130;3;2;1.780
52;2;1;1.200
60;3;2;1.050
166;3;3;890
64;3;1;750
70;1;1;1.895
75;5;2;890
35;3;1;890
225;2;3;1.178
76;3;1;575
40;4;1;2.500
90;3;1;890
85;2;2;624
81;3;1;1.100
65;3;2;1.250
65;2;2;1.170
140;2;3;850
70;3;1;1.360
70;3;1;1.900
101;2;2;1.400
60;4;1;850
71;2;1;975
205;2;2;900
72;1;2;1.100
65;1;1;2.500
60;2;1;1.100
